Found 1962 strings where colon position > 32

ACTIVITY_INFO        | kk    | colon at 37 (+ 5) | Общее время активной игры     : {} часов...
ACTIVITY_INFO        | be    | colon at 35 (+ 3) | Общее число игровых сессий    : {}...
ACTIVITY_INFO        | it    | colon at 35 (+ 3) | Общее число игровых сессий    : {}...
ACTIVITY_INFO        | de    | colon at 34 (+ 2) | Дата первого игрового события : {}...
ACTIVITY_INFO        | es    | colon at 34 (+ 2) | Общее число игровых сессий    : {}...
ACTIVITY_INFO        | es419 | colon at 34 (+ 2) | Общее число игровых сессий    : {}...
ACTIVITY_INFO        | it    | colon at 34 (+ 2) | RTC запущены (приблизительно) : {}...
ACTIVITY_INFO        | nl    | colon at 34 (+ 2) | Дата первого игрового события : {}...
ACTIVITY_INFO        | pl    | colon at 34 (+ 2) | Дата первого игрового события : {}...
ACTIVITY_INFO        | be    | colon at 33 (+ 1) | RTC запущены (приблизительно) : {}...
ACTIVITY_INFO        | be    | colon at 33 (+ 1) | Дата первого игрового события : {}...
ACTIVITY_INFO        | be    | colon at 33 (+ 1) | Общее время запущенных игр    : {} часов...
ACTIVITY_INFO        | be    | colon at 33 (+ 1) | Общее время активной игры     : {} часов...
ACTIVITY_INFO        | de    | colon at 33 (+ 1) | RTC запущены (приблизительно) : {}...
ACTIVITY_INFO        | de    | colon at 33 (+ 1) | Общее время запущенных игр    : {} часов...
ACTIVITY_INFO        | de    | colon at 33 (+ 1) | Общее время активной игры     : {} часов...
ACTIVITY_INFO        | de    | colon at 33 (+ 1) | Общее число игровых сессий    : {}...
ACTIVITY_INFO        | en    | colon at 33 (+ 1) | RTC запущены (приблизительно) : {}...
ACTIVITY_INFO        | en    | colon at 33 (+ 1) | Дата первого игрового события : {}...
ACTIVITY_INFO        | en    | colon at 33 (+ 1) | Общее время запущенных игр    : {} часов...
ACTIVITY_INFO        | en    | colon at 33 (+ 1) | Общее время активной игры     : {} часов...
ACTIVITY_INFO        | en    | colon at 33 (+ 1) | Общее число игровых сессий    : {}...
ACTIVITY_INFO        | engb  | colon at 33 (+ 1) | RTC запущены (приблизительно) : {}...
ACTIVITY_INFO        | engb  | colon at 33 (+ 1) | Дата первого игрового события : {}...
ACTIVITY_INFO        | engb  | colon at 33 (+ 1) | Общее время запущенных игр    : {} часов...
ACTIVITY_INFO        | engb  | colon at 33 (+ 1) | Общее время активной игры     : {} часов...
ACTIVITY_INFO        | engb  | colon at 33 (+ 1) | Общее число игровых сессий    : {}...
ACTIVITY_INFO        | es    | colon at 33 (+ 1) | RTC запущены (приблизительно) : {}...
ACTIVITY_INFO        | es    | colon at 33 (+ 1) | Дата первого игрового события : {}...
ACTIVITY_INFO        | es    | colon at 33 (+ 1) | Общее время запущенных игр    : {} часов...
ACTIVITY_INFO        | es    | colon at 33 (+ 1) | Общее время активной игры     : {} часов...
ACTIVITY_INFO        | es419 | colon at 33 (+ 1) | RTC запущены (приблизительно) : {}...
ACTIVITY_INFO        | es419 | colon at 33 (+ 1) | Дата первого игрового события : {}...
ACTIVITY_INFO        | es419 | colon at 33 (+ 1) | Общее время запущенных игр    : {} часов...
ACTIVITY_INFO        | es419 | colon at 33 (+ 1) | Общее время активной игры     : {} часов...
ACTIVITY_INFO        | et    | colon at 33 (+ 1) | RTC запущены (приблизительно) : {}...
ACTIVITY_INFO        | et    | colon at 33 (+ 1) | Дата первого игрового события : {}...
ACTIVITY_INFO        | et    | colon at 33 (+ 1) | Общее время запущенных игр    : {} часов...
ACTIVITY_INFO        | et    | colon at 33 (+ 1) | Общее время активной игры     : {} часов...
ACTIVITY_INFO        | et    | colon at 33 (+ 1) | Общее число игровых сессий    : {}...
ACTIVITY_INFO        | fr    | colon at 33 (+ 1) | RTC запущены (приблизительно) : {}...
ACTIVITY_INFO        | fr    | colon at 33 (+ 1) | Дата первого игрового события : {}...
ACTIVITY_INFO        | fr    | colon at 33 (+ 1) | Общее время запущенных игр    : {} часов...
ACTIVITY_INFO        | fr    | colon at 33 (+ 1) | Общее время активной игры     : {} часов...
ACTIVITY_INFO        | fr    | colon at 33 (+ 1) | Общее число игровых сессий    : {}...
ACTIVITY_INFO        | frca  | colon at 33 (+ 1) | RTC запущены (приблизительно) : {}...
ACTIVITY_INFO        | frca  | colon at 33 (+ 1) | Дата первого игрового события : {}...
ACTIVITY_INFO        | frca  | colon at 33 (+ 1) | Общее время запущенных игр    : {} часов...
ACTIVITY_INFO        | frca  | colon at 33 (+ 1) | Общее время активной игры     : {} часов...
ACTIVITY_INFO        | frca  | colon at 33 (+ 1) | Общее число игровых сессий    : {}...
ACTIVITY_INFO        | it    | colon at 33 (+ 1) | Дата первого игрового события : {}...
ACTIVITY_INFO        | it    | colon at 33 (+ 1) | Общее время запущенных игр    : {} часов...
ACTIVITY_INFO        | it    | colon at 33 (+ 1) | Общее время активной игры     : {} часов...
ACTIVITY_INFO        | jp    | colon at 33 (+ 1) | RTC запущены (приблизительно) : {}...
ACTIVITY_INFO        | jp    | colon at 33 (+ 1) | Дата первого игрового события : {}...
ACTIVITY_INFO        | jp    | colon at 33 (+ 1) | Общее время запущенных игр    : {} часов...
ACTIVITY_INFO        | jp    | colon at 33 (+ 1) | Общее время активной игры     : {} часов...
ACTIVITY_INFO        | jp    | colon at 33 (+ 1) | Общее число игровых сессий    : {}...
ACTIVITY_INFO        | kk    | colon at 33 (+ 1) | RTC запущены (приблизительно) : {}...
ACTIVITY_INFO        | kk    | colon at 33 (+ 1) | Дата первого игрового события : {}...
ACTIVITY_INFO        | kk    | colon at 33 (+ 1) | Общее время запущенных игр    : {} часов...
ACTIVITY_INFO        | kk    | colon at 33 (+ 1) | Общее число игровых сессий    : {}...
ACTIVITY_INFO        | kr    | colon at 33 (+ 1) | RTC запущены (приблизительно) : {}...
ACTIVITY_INFO        | kr    | colon at 33 (+ 1) | Дата первого игрового события : {}...
ACTIVITY_INFO        | kr    | colon at 33 (+ 1) | Общее время запущенных игр    : {} часов...
ACTIVITY_INFO        | kr    | colon at 33 (+ 1) | Общее время активной игры     : {} часов...
ACTIVITY_INFO        | kr    | colon at 33 (+ 1) | Общее число игровых сессий    : {}...
ACTIVITY_INFO        | lt    | colon at 33 (+ 1) | RTC запущены (приблизительно) : {}...
ACTIVITY_INFO        | lt    | colon at 33 (+ 1) | Дата первого игрового события : {}...
ACTIVITY_INFO        | lt    | colon at 33 (+ 1) | Общее время запущенных игр    : {} часов...
ACTIVITY_INFO        | lt    | colon at 33 (+ 1) | Общее время активной игры     : {} часов...
ACTIVITY_INFO        | lt    | colon at 33 (+ 1) | Общее число игровых сессий    : {}...
ACTIVITY_INFO        | lv    | colon at 33 (+ 1) | RTC запущены (приблизительно) : {}...
ACTIVITY_INFO        | lv    | colon at 33 (+ 1) | Дата первого игрового события : {}...
ACTIVITY_INFO        | lv    | colon at 33 (+ 1) | Общее время запущенных игр    : {} часов...
ACTIVITY_INFO        | lv    | colon at 33 (+ 1) | Общее время активной игры     : {} часов...
ACTIVITY_INFO        | lv    | colon at 33 (+ 1) | Общее число игровых сессий    : {}...
ACTIVITY_INFO        | nl    | colon at 33 (+ 1) | RTC запущены (приблизительно) : {}...
ACTIVITY_INFO        | nl    | colon at 33 (+ 1) | Общее время запущенных игр    : {} часов...
ACTIVITY_INFO        | nl    | colon at 33 (+ 1) | Общее время активной игры     : {} часов...
ACTIVITY_INFO        | nl    | colon at 33 (+ 1) | Общее число игровых сессий    : {}...
ACTIVITY_INFO        | pl    | colon at 33 (+ 1) | RTC запущены (приблизительно) : {}...
ACTIVITY_INFO        | pl    | colon at 33 (+ 1) | Общее время запущенных игр    : {} часов...
ACTIVITY_INFO        | pl    | colon at 33 (+ 1) | Общее время активной игры     : {} часов...
ACTIVITY_INFO        | pl    | colon at 33 (+ 1) | Общее число игровых сессий    : {}...
ACTIVITY_INFO        | pt    | colon at 33 (+ 1) | RTC запущены (приблизительно) : {}...
ACTIVITY_INFO        | pt    | colon at 33 (+ 1) | Дата первого игрового события : {}...
ACTIVITY_INFO        | pt    | colon at 33 (+ 1) | Общее время запущенных игр    : {} часов...
ACTIVITY_INFO        | pt    | colon at 33 (+ 1) | Общее время активной игры     : {} часов...
